"","GO.Slim.Term","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","GO.Term"
"1","integral to plasma membrane",0.00831175565217374,0.997618076094069,13,23,NA
"2","cell division",0.0104193718618378,0.996995352308938,13,22,NA
"3","extracellular region",0.0145884215001978,0.99569540223657,12,21,NA
"4","tRNA processing",0.0278170759868854,1,3,3,NA
"5","ubiquitin-specific protease activity",0.0291942108297118,0.997765658626135,4,5,NA
"6","protein tyrosine kinase activity",0.0351159486488282,0.997127552819928,4,5,NA
"7","motor activity",0.0429465159269027,1,3,3,NA
"8","myosin complex",0.0429465159269027,1,3,3,NA
"9","DNA integration",0.0431383184244991,0.990731863606186,6,10,NA
"10","aspartic-type endopeptidase activity",0.0431710984161202,0.993640826581843,5,7,NA
"11","protein binding",0.0458210162193633,0.971900634806821,41,104,NA
"12","microtubule motor activity",0.0485637293503105,0.995518227247283,4,5,NA
"13","ubiquitin-protein ligase activity",0.0514244922524747,0.983231217909827,9,17,NA
"14","RNA-directed DNA polymerase activity",0.0641919218340745,0.987241043079664,5,8,NA
"15","zinc ion binding",0.0698404343493414,0.964448965177767,18,42,NA
"16","identical protein binding",0.0730005611503054,0.967589894408314,13,28,NA
"17","ion transport",0.0733632644056161,0.988569225356743,4,6,NA
"18","negative regulation of apoptosis",0.0756997326911845,0.984109479741001,5,8,NA
"19","mitochondrial membrane",0.0806317880001992,0.992408433456025,3,4,NA
"20","positive regulation of angiogenesis",0.080795315030396,0.992385713357677,3,4,NA
"21","protein ubiquitination",0.0825843758128834,0.971201787775005,8,16,NA
"22","retrotransposon nucleocapsid",0.0865773199251011,1,2,2,NA
"23","ribonuclease activity",0.0865773199251011,1,2,2,NA
"24","response to reactive oxygen species",0.0865773199251413,1,2,2,NA
"25","transmembrane receptor protein tyrosine kinase activity",0.0882801625361501,1,2,2,NA
"26","definitive hemopoiesis",0.0882801625361579,1,2,2,NA
"27","TATA-binding protein binding",0.0892880099688639,1,2,2,NA
"28","regulation of protein localization",0.0894301849494532,1,2,2,NA
"29","sequence-specific DNA binding",0.0897739388327514,1,2,2,NA
"30","Golgi organization",0.0922139625929363,0.984283492703828,4,6,NA
"31","histidine catabolic process",0.0934987004311524,1,2,2,NA
"32","histidine catabolic process to glutamate and formamide",0.0934987004311524,1,2,2,NA
"33","histidine catabolic process to glutamate and formate",0.0934987004311524,1,2,2,NA
"34","cellular response to heat",0.0939662094617405,1,2,2,NA
"35","calcium-release channel activity",0.0940772203883938,1,2,2,NA
"36","histone deacetylation",0.0989746380188155,1,2,2,NA
"37","SCF ubiquitin ligase complex",0.0995581886959113,1,2,2,NA
"38","cell-cell junction",0.099964298162944,1,2,2,NA
"39","positive regulation of I-kappaB kinase/NF-kappaB cascade",0.100124463232163,0.989533102988715,3,4,NA
"40","transcription corepressor activity",0.101489984822284,1,2,2,NA
"41","ribonuclease H activity",0.101601068415634,0.989301814004738,3,4,NA
"42","response to organic cyclic substance",0.101866314037171,0.989260069330999,3,4,NA
"43","ARF guanyl-nucleotide exchange factor activity",0.102816458977898,0.989110041009226,3,4,NA
"44","extrinsic to endosome membrane",0.104138303187107,1,2,2,NA
"45","chemotaxis",0.105969646375402,1,2,2,NA
"46","spindle pole centrosome",0.106486745337932,1,2,2,NA
"47","kinesin binding",0.10691421022786,1,2,2,NA
"48","negative regulation of angiogenesis",0.108288947051314,1,2,2,NA
"49","chromosome, centromeric region",0.110473447100829,1,2,2,NA
"50","histone-lysine N-methyltransferase activity",0.112216619954496,1,2,2,NA
"51","regulation of keratinocyte differentiation",0.114407942349558,1,2,2,NA
"52","scavenger receptor activity",0.115332312333632,1,2,2,NA
"53","chromatin binding",0.120110370686184,0.952808726078774,8,17,NA
"54","microtubule cytoskeleton organization",0.125261410361331,0.985344776799263,3,4,NA
"55","endocytosis",0.129423038751085,0.97042133949679,4,7,NA
"56","beta-amyloid binding",0.134039352508738,1,2,2,NA
"57","protein heterodimerization activity",0.134320413186406,0.968827941873121,4,7,NA
"58","endoplasmic reticulum organization",0.137635010440702,1,2,2,NA
"59","determination of adult life span",0.144264879412268,0.981831528155062,3,4,NA
"60","receptor binding",0.146602363301756,0.964710364126489,4,7,NA
"61","learning",0.149194775653932,1,2,2,NA
"62","cell surface",0.150215587847605,0.96346632138036,4,7,NA
"63","actin cytoskeleton organization",0.152297546298376,0.962742811099089,4,7,NA
"64","peptidase activity",0.155731676074874,0.9715495725894,3,5,NA
"65","four-way junction helicase activity",0.16132021011196,0.969991127841256,3,5,NA
"66","mRNA transport",0.165891654851761,0.957899541926714,4,7,NA
"67","ubiquitin-dependent protein catabolic process",0.171633993050324,0.93732137151079,6,12,NA
"68","ATP binding",0.174157747461329,0.879597436195301,34,93,NA
"69","chromosome",0.174975737827138,0.933582345061878,6,13,NA
"70","helicase activity",0.175881067095377,0.941928470813307,5,10,NA
"71","collagen",0.180647715160955,0.974290622334232,3,4,NA
"72","regulation of cell shape",0.183241260019799,0.963569678356576,3,5,NA
"73","axoneme",0.188563255101312,0.961936949868368,3,5,NA
