"","GO.Slim.Term","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","GO.Term"
"1","regulation of apoptosis",0.0225835771693683,0.99878739974472,2,6,NA
"2","calcium channel activity",0.0413754560241578,1,1,1,NA
"3","calcium ion transport",0.0413754560241578,1,1,1,NA
"4","cellular response to cold",0.0413754560241578,1,1,1,NA
"5","channel activity",0.0413754560241578,1,1,1,NA
"6","detection of chemical stimulus involved in sensory perception of pain",0.0413754560241578,1,1,1,NA
"7","detection of mechanical stimulus involved in sensory perception of pain",0.0413754560241578,1,1,1,NA
"8","response to cold",0.0413754560241578,1,1,1,NA
"9","response to pain",0.0413754560241578,1,1,1,NA
"10","sensory perception of pain",0.0413754560241578,1,1,1,NA
"11","stereocilium bundle",0.0413754560241578,1,1,1,NA
"12","thermoception",0.0413754560241578,1,1,1,NA
"13","transmembrane calcium ion transport",0.0413754560241578,1,1,1,NA
"14","urinary bladder smooth muscle contraction",0.0413754560241578,1,1,1,NA
"15","AP-2 adaptor complex",0.0413756240368946,1,1,1,NA
"16","negative regulation of cell growth",0.0413759875276987,1,1,1,NA
"17","nucleosome assembly",0.0413759875276987,1,1,1,NA
"18","SWI/SNF complex",0.0413759875276987,1,1,1,NA
"19","carbon monoxide binding",0.0413888036862636,1,1,1,NA
"20","nitric oxide binding",0.0413888036862636,1,1,1,NA
"21","oxygen sensor activity",0.0413888036862636,1,1,1,NA
"22","choline biosynthetic process",0.0413901361550843,1,1,1,NA
"23","phosphatidylcholine biosynthetic process",0.0413901361550843,1,1,1,NA
"24","phosphoethanolamine N-methyltransferase activity",0.0413901361550843,1,1,1,NA
"25","pollen development",0.0413901361550843,1,1,1,NA
"26","pollen tube growth",0.0413901361550843,1,1,1,NA
"27","pollen tube guidance",0.0413901361550843,1,1,1,NA
"28","post-embryonic root development",0.0413901361550843,1,1,1,NA
"29","unidimensional cell growth",0.0413901361550843,1,1,1,NA
"30","response to virus",0.0413950607810421,1,1,1,NA
"31","germ cell migration",0.0414014581513138,1,1,1,NA
"32","cell-substrate adhesion",0.0414062160076353,1,1,1,NA
"33","chemotaxis to cAMP",0.0414062160076353,1,1,1,NA
"34","culmination during sorocarp development",0.0414062160076353,1,1,1,NA
"35","RNA modification",0.081076928019939,0.998326284724927,1,2,NA
"36","protein homotetramerization",0.0810815139917348,0.998326091192327,1,2,NA
"37","calcium-release channel activity",0.0810829059551067,0.998326032447768,1,2,NA
