"","GO.Slim.Term","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","GO.Term"
"1","DNA integration",0.00382168131804888,0.99954923381029,6,10,NA
"2","protein tyrosine kinase activity",0.00556511334062759,0.999754895734705,4,5,NA
"3","tRNA processing",0.00629745167318349,1,3,3,NA
"4","cell division",0.00682234623248038,0.998263182873382,10,22,NA
"5","microtubule motor activity",0.00840612568919962,0.999578544200566,4,5,NA
"6","motor activity",0.0111432109543911,1,3,3,NA
"7","myosin complex",0.0111432109543911,1,3,3,NA
"8","ATP binding",0.0120880579666037,0.994042535355429,27,93,NA
"9","extracellular region",0.0124075603642019,0.996690029552486,9,21,NA
"10","positive regulation of I-kappaB kinase/NF-kappaB cascade",0.0238291716904129,0.998693480291045,3,4,NA
"11","response to organic cyclic substance",0.0245832572132988,0.998634646096253,3,4,NA
"12","ribonuclease H activity",0.0275778958661667,0.998393224021908,3,4,NA
"13","actin cytoskeleton organization",0.0295072218663385,0.99610269466161,4,7,NA
"14","retrotransposon nucleocapsid",0.0334875544397624,1,2,2,NA
"15","ribonuclease activity",0.0334875544397624,1,2,2,NA
"16","transmembrane receptor protein tyrosine kinase activity",0.0337084470981357,1,2,2,NA
"17","cellular response to heat",0.0346362837642053,1,2,2,NA
"18","histone deacetylation",0.0358880738249446,1,2,2,NA
"19","cell-cell junction",0.0358893272496853,1,2,2,NA
"20","chromosome, centromeric region",0.0379724651850393,1,2,2,NA
"21","spindle pole centrosome",0.0386672707911015,1,2,2,NA
"22","negative regulation of angiogenesis",0.0389007011255882,1,2,2,NA
"23","regulation of keratinocyte differentiation",0.0399045448153502,1,2,2,NA
"24","zinc ion binding",0.043943544019633,0.980739976964214,13,42,NA
"25","microtubule cytoskeleton organization",0.0440940396772285,0.996859058156613,3,4,NA
"26","ubiquitin-specific protease activity",0.0458067640850089,0.995267982248508,3,5,NA
"27","RNA-directed DNA polymerase activity",0.048927571341333,0.991532801988211,4,8,NA
"28","microtubule-based movement",0.0495757922820621,0.989334284808114,5,10,NA
"29","integral to plasma membrane",0.0500842961228768,0.982734759207187,8,23,NA
"30","aspartic-type endopeptidase activity",0.0506562695224957,0.991935607885776,4,7,NA
"31","cytoplasm",0.0532630230674922,0.966404586238038,41,171,NA
"32","nucleic acid binding",0.0584584429063586,0.972082619896851,14,49,NA
"33","DNA-directed DNA polymerase activity",0.0590782962736074,0.993186153579098,3,5,NA
"34","chromatin binding",0.0811197337424476,0.973701596166171,6,17,NA
"35","positive regulation of proteasomal ubiquitin-dependent protein catabolic process",0.0821683766196502,0.987220798635624,3,6,NA
"36","methyltransferase activity",0.0843540419808804,0.986725399326707,3,6,NA
"37","P granule",0.0846159217793002,0.98853134549053,3,5,NA
"38","metal ion binding",0.0856980294505073,0.94818745886681,25,101,NA
"39","ubiquitin-protein ligase activity",0.0857595004245252,0.971762521257811,6,17,NA
"40","protein amino acid phosphorylation",0.0861473604115039,0.965874030689743,8,25,NA
"41","transposition, RNA-mediated",0.0883232597267493,0.993930248832253,2,3,NA
"42","cell projection organization",0.0883232597268993,0.993930248832237,2,3,NA
"43","regulation of apoptosis",0.0886613242434561,0.985730607026538,3,6,NA
"44","spermatogenesis, exchange of chromosomal proteins",0.0902016015969272,0.993720515241793,2,3,NA
"45","regulation of translation",0.0902025896575385,0.993720404148897,2,3,NA
"46","chromatin silencing",0.0922249693991133,0.993491330818754,2,3,NA
"47","positive regulation of endothelial cell migration",0.09704828406298,0.992931444010661,2,3,NA
"48","dendrite morphogenesis",0.10033647013084,0.992538865627646,2,3,NA
"49","peptidyl-tyrosine phosphorylation",0.1012508026449,0.992428141504955,2,3,NA
"50","apical part of cell",0.101845766956567,0.992355728253268,2,3,NA
"51","chromatoid body",0.102314244486368,0.992298507929248,2,3,NA
"52","piRNA metabolic process",0.102314244486368,0.992298507929248,2,3,NA
"53","Golgi organization",0.103620438669711,0.982089729553337,3,6,NA
"54","helicase activity",0.105157189686404,0.973361273522239,4,10,NA
"55","4 iron, 4 sulfur cluster binding",0.107143453938449,0.991698326387192,2,3,NA
"56","protein homodimerization activity",0.107261074795031,0.96187398135691,6,18,NA
"57","germ cell development",0.108062937661259,0.99158192129037,2,3,NA
"58","skeletal system development",0.113415682479765,0.990890798865063,2,3,NA
"59","anaphase-promoting complex",0.115920415477132,0.990559524079088,2,3,NA
"60","endocytosis",0.123612708283035,0.974776325910869,3,7,NA
"61","regulation of transcription, DNA-dependent",0.132304239803284,0.934958023032782,10,36,NA
"62","nervous system development",0.133044202985447,0.971896001650582,3,7,NA
"63","protein kinase activity",0.139247483851383,0.941199040652549,7,23,NA
"64","magnesium ion binding",0.155893065622509,0.978945507448229,2,4,NA
"65","circadian regulation of gene expression",0.158300344664625,0.978407185591134,2,4,NA
"66","transferase activity",0.160999791317067,0.977796535574043,2,4,NA
"67","protein ubiquitination",0.16725284196067,0.937630413044571,5,16,NA
"68","DNA recombination",0.169792297537307,0.9453233069531,4,12,NA
"69","ARF guanyl-nucleotide exchange factor activity",0.170402341541086,0.975611905752962,2,4,NA
"70","response to hypoxia",0.170507535210809,0.975586958285624,2,4,NA
"71","oogenesis",0.181108217885508,0.973015518777213,2,4,NA
"72","positive regulation of protein amino acid phosphorylation",0.182121952083232,0.972763659321191,2,4,NA
"73","G-protein coupled receptor protein signaling pathway",0.182856361812631,0.952516022000673,3,8,NA
"74","parasitophorous vacuole",0.183576938873431,1,1,1,NA
"75","cell-substrate adhesion",0.183576938873457,1,1,1,NA
"76","chemotaxis to cAMP",0.183576938873457,1,1,1,NA
"77","culmination during sorocarp development",0.183576938873457,1,1,1,NA
"78","ESC/E(Z) complex",0.183576938873471,1,1,1,NA
"79","negative regulation of chromatin silencing",0.183576938873471,1,1,1,NA
"80","PRC1 complex",0.183576938873471,1,1,1,NA
"81","DNA photolyase activity",0.183576938873557,1,1,1,NA
"82","protein-chromophore linkage",0.183576938873557,1,1,1,NA
"83","germ cell migration",0.183576938873585,1,1,1,NA
"84","DNA-dependent DNA replication",0.1835769388736,1,1,1,NA
"85","sister chromatid cohesion",0.1835769388736,1,1,1,NA
"86","protein-L-isoaspartate (D-aspartate) O-methyltransferase activity",0.183576938873633,1,1,1,NA
"87","behavioral response to ethanol",0.18357693887364,1,1,1,NA
"88","cellular response to insulin stimulus",0.18357693887364,1,1,1,NA
"89","NAD-dependent histone deacetylase activity",0.18357693887364,1,1,1,NA
"90","NAD binding",0.18357693887364,1,1,1,NA
"91","protein amino acid deacetylation",0.18357693887364,1,1,1,NA
"92","protein deacetylase activity",0.18357693887364,1,1,1,NA
"93","4-hydroxy-4-methyl-2-oxoglutarate aldolase activity",0.183576938873653,1,1,1,NA
"94","oxaloacetate decarboxylase activity",0.183576938873653,1,1,1,NA
"95","regulation of RNA metabolic process",0.183576938873653,1,1,1,NA
"96","ribonuclease inhibitor activity",0.183576938873653,1,1,1,NA
"97","response to virus",0.183576938873691,1,1,1,NA
"98","calcium-dependent cell-cell adhesion",0.183576938873696,1,1,1,NA
"99","chromosome passenger complex",0.183576938873712,1,1,1,NA
"100","condensed nuclear chromosome, centromeric region",0.183576938873712,1,1,1,NA
"101","histone serine kinase activity",0.183576938873712,1,1,1,NA
"102","meiotic spindle organization",0.183576938873712,1,1,1,NA
"103","mitotic centrosome separation",0.183576938873712,1,1,1,NA
"104","mitotic spindle organization",0.183576938873712,1,1,1,NA
"105","protein serine/threonine/tyrosine kinase activity",0.183576938873712,1,1,1,NA
"106","spindle microtubule",0.183576938873712,1,1,1,NA
"107","choline biosynthetic process",0.183576938873715,1,1,1,NA
"108","phosphatidylcholine biosynthetic process",0.183576938873715,1,1,1,NA
"109","phosphoethanolamine N-methyltransferase activity",0.183576938873715,1,1,1,NA
"110","pollen development",0.183576938873715,1,1,1,NA
"111","pollen tube growth",0.183576938873715,1,1,1,NA
"112","pollen tube guidance",0.183576938873715,1,1,1,NA
"113","post-embryonic root development",0.183576938873715,1,1,1,NA
"114","regulation of DNA repair",0.183576938873715,1,1,1,NA
"115","response to UV",0.183576938873715,1,1,1,NA
"116","unidimensional cell growth",0.183576938873715,1,1,1,NA
"117","acyl-CoA binding",0.183576938873716,1,1,1,NA
"118","acyl-CoA metabolic process",0.183576938873716,1,1,1,NA
"119","carboxylic acid binding",0.183576938873716,1,1,1,NA
"120","hydroxymethylglutaryl-CoA lyase activity",0.183576938873716,1,1,1,NA
"121","ketone body biosynthetic process",0.183576938873716,1,1,1,NA
"122","liver development",0.183576938873716,1,1,1,NA
"123","protein tetramerization",0.183576938873716,1,1,1,NA
"124","response to fatty acid",0.183576938873716,1,1,1,NA
"125","response to starvation",0.183576938873716,1,1,1,NA
"126","carbon monoxide binding",0.183576938873717,1,1,1,NA
"127","nitric oxide binding",0.183576938873717,1,1,1,NA
"128","oxygen sensor activity",0.183576938873717,1,1,1,NA
"129","cation channel activity",0.183576938873717,1,1,1,NA
"130","glutathione transferase activity",0.183576938873717,1,1,1,NA
"131","transmembrane ion transport",0.183576938873717,1,1,1,NA
"132","intermediate filament cytoskeleton organization",0.183576990335868,1,1,1,NA
"133","nuclear inclusion body",0.183576990335868,1,1,1,NA
"134","regulation of cell-substrate adhesion",0.183576990335868,1,1,1,NA
"135","FAD transmembrane transporter activity",0.183577151580854,1,1,1,NA
"136","folic acid metabolic process",0.183577151580854,1,1,1,NA
"137","folic acid transport",0.183577151580854,1,1,1,NA
