"","GO.Slim.Term","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","GO.Term"
"1","ion transport",0.00301572997392577,0.999837315940146,4,6,NA
"2","aspartic-type endopeptidase activity",0.00672609066272023,0.999448434151896,4,7,NA
"3","response to reactive oxygen species",0.0140375126331108,1,2,2,NA
"4","regulation of protein localization",0.0159105057007054,1,2,2,NA
"5","TATA-binding protein binding",0.0159357395718747,1,2,2,NA
"6","calcium-release channel activity",0.0164284452726232,1,2,2,NA
"7","chemotaxis",0.0166076930464175,1,2,2,NA
"8","histone-lysine N-methyltransferase activity",0.0175210701714197,1,2,2,NA
"9","kinesin binding",0.018171034246011,1,2,2,NA
"10","beta-amyloid binding",0.0211421047945717,1,2,2,NA
"11","protein binding",0.0344354988997939,0.98255879042837,20,104,NA
"12","ion channel activity",0.0473456780860815,0.99776406158622,2,3,NA
"13","protein heterodimerization activity",0.0485820288768304,0.993465866239071,3,7,NA
"14","protein homooligomerization",0.0499295248742899,0.997568447341947,2,3,NA
"15","RNA-directed DNA polymerase activity",0.0619529012259878,0.990222189415514,3,8,NA
"16","mitochondrial membrane",0.0757477744079741,0.993470632252492,2,4,NA
"17","response to organic substance",0.0837133032669552,0.992342893308181,2,4,NA
"18","cell cortex",0.0837696376438012,0.992334665348181,2,4,NA
"19","negative regulation of gene expression",0.0914075698252839,0.991186741096555,2,4,NA
"20","signal transduction",0.104223956250338,0.965720635838042,5,20,"DNA damage checkpoint"
"21","DNA integration",0.104860632831054,0.977720042343368,3,10,NA
"22","peptidase activity",0.111826973554733,0.98604080938129,2,5,NA
"23","cell-substrate adhesion",0.115692224327327,1,1,1,NA
"24","chemotaxis to cAMP",0.115692224327327,1,1,1,NA
"25","culmination during sorocarp development",0.115692224327327,1,1,1,NA
"26","germ cell migration",0.117038201153103,1,1,1,NA
"27","collagen",0.117244563545175,0.986838403311908,2,4,NA
"28","cerebral cortex regionalization",0.117244882532558,1,1,1,NA
"29","poly-purine tract binding",0.117244882532558,1,1,1,NA
"30","inhibition of adenylate cyclase activity by G-protein signaling",0.11764235657652,1,1,1,NA
"31","negative regulation of cAMP metabolic process",0.11764235657652,1,1,1,NA
"32","serotonin receptor activity",0.11764235657652,1,1,1,NA
"33","protein-L-isoaspartate (D-aspartate) O-methyltransferase activity",0.117668292874454,1,1,1,NA
"34","response to virus",0.118910514922646,1,1,1,NA
"35","RNA polymerase I transcription factor complex",0.11993763425083,1,1,1,NA
"36","transcription from RNA polymerase I promoter",0.11993763425083,1,1,1,NA
"37","choline biosynthetic process",0.120475235051238,1,1,1,NA
"38","phosphatidylcholine biosynthetic process",0.120475235051238,1,1,1,NA
"39","phosphoethanolamine N-methyltransferase activity",0.120475235051238,1,1,1,NA
"40","pollen development",0.120475235051238,1,1,1,NA
"41","pollen tube growth",0.120475235051238,1,1,1,NA
"42","pollen tube guidance",0.120475235051238,1,1,1,NA
"43","post-embryonic root development",0.120475235051238,1,1,1,NA
"44","unidimensional cell growth",0.120475235051238,1,1,1,NA
"45","negative regulation of axon extension",0.120889768094775,1,1,1,NA
"46","negative regulation of axon regeneration",0.120889768094775,1,1,1,NA
"47","negative regulation of collateral sprouting",0.120889768094775,1,1,1,NA
"48","acyl-CoA binding",0.120914689548482,1,1,1,NA
"49","acyl-CoA metabolic process",0.120914689548482,1,1,1,NA
"50","carboxylic acid binding",0.120914689548482,1,1,1,NA
"51","hydroxymethylglutaryl-CoA lyase activity",0.120914689548482,1,1,1,NA
"52","ketone body biosynthetic process",0.120914689548482,1,1,1,NA
"53","liver development",0.120914689548482,1,1,1,NA
"54","protein tetramerization",0.120914689548482,1,1,1,NA
"55","response to fatty acid",0.120914689548482,1,1,1,NA
"56","response to starvation",0.120914689548482,1,1,1,NA
"57","carbon monoxide binding",0.120934995422033,1,1,1,NA
"58","nitric oxide binding",0.120934995422033,1,1,1,NA
"59","oxygen sensor activity",0.120934995422033,1,1,1,NA
