"","GO.Slim.Term","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","GO.Term"
"1","identical protein binding",0.00921733126674719,0.997506797019033,9,28,NA
"2","response to organic cyclic substance",0.00994031308112976,0.999617997730469,3,4,NA
"3","ARF guanyl-nucleotide exchange factor activity",0.0101035026462665,0.99960925733523,3,4,NA
"4","transmembrane transport",0.0101321205621575,0.998538851732252,5,11,NA
"5","determination of adult life span",0.0138162725291435,0.999395698590541,3,4,NA
"6","extrinsic to endosome membrane",0.0198359909258086,1,2,2,NA
"7","chemotaxis",0.0201492564672462,1,2,2,NA
"8","autophagic vacuole",0.0247805275294704,0.99802696841651,3,5,NA
"9","integral to plasma membrane",0.0250914268976871,0.993051405387676,7,23,NA
"10","protein binding",0.0323735525234282,0.983475005134809,21,104,NA
"11","ion transport",0.0337161517089805,0.996432235981815,3,6,NA
"12","regulation of apoptosis",0.0373633354622403,0.995875989008102,3,6,NA
"13","cytoplasmic vesicle membrane",0.0397717043982155,0.995495288792387,3,6,NA
"14","ion channel activity",0.0514225187971709,0.997450480393619,2,3,NA
"15","autophagy",0.0568263984944112,0.991827567348311,3,7,NA
"16","protein transporter activity",0.057504181552969,0.996956682779931,2,3,NA
"17","integrin binding",0.0592613170817853,0.996807729779196,2,3,NA
"18","cerebellar Purkinje cell differentiation",0.0592898511028358,0.996805287971055,2,3,NA
"19","ER to Golgi vesicle-mediated transport",0.0598052364246817,0.996761057744906,2,3,NA
"20","negative regulation of autophagy",0.0645192287658017,0.996345505848739,2,3,NA
"21","anatomical structure morphogenesis",0.0682557641156502,0.996002190978819,2,3,NA
"22","RNA-directed DNA polymerase activity",0.0784516200020509,0.986282972020832,3,8,NA
"23","autophagic vacuole formation",0.0902965165487459,0.991350911421275,2,4,NA
"24","cellular calcium ion homeostasis",0.0919702519722835,0.991092677853346,2,4,NA
"25","ribonuclease H activity",0.0955978666298072,0.990522547740572,2,4,NA
"26","pyridoxal phosphate binding",0.0971742139138773,0.990270370612497,2,4,NA
"27","mitochondrial transport",0.0979337826243975,0.990147903315825,2,4,NA
"28","neuromuscular process controlling balance",0.0992599650795494,0.98993259431443,2,4,NA
"29","social behavior",0.115401194676016,0.98716223329932,2,4,NA
"30","peptidase activity",0.125252733428923,0.98322822629398,2,5,NA
"31","ubiquitin-specific protease activity",0.127056908901717,0.982835825833358,2,5,NA
"32","parasitophorous vacuole",0.127912475709872,1,1,1,NA
"33","cell-substrate adhesion",0.127912475709923,1,1,1,NA
"34","chemotaxis to cAMP",0.127912475709923,1,1,1,NA
"35","culmination during sorocarp development",0.127912475709923,1,1,1,NA
"36","germ cell migration",0.127912475710161,1,1,1,NA
"37","DNA-dependent DNA replication",0.127912475710189,1,1,1,NA
"38","sister chromatid cohesion",0.127912475710189,1,1,1,NA
"39","behavioral response to ethanol",0.127912475710264,1,1,1,NA
"40","cellular response to insulin stimulus",0.127912475710264,1,1,1,NA
"41","NAD-dependent histone deacetylase activity",0.127912475710264,1,1,1,NA
"42","NAD binding",0.127912475710264,1,1,1,NA
"43","protein amino acid deacetylation",0.127912475710264,1,1,1,NA
"44","protein deacetylase activity",0.127912475710264,1,1,1,NA
"45","DNA translocase activity",0.127912475710273,1,1,1,NA
"46","4-hydroxy-4-methyl-2-oxoglutarate aldolase activity",0.127912475710288,1,1,1,NA
"47","oxaloacetate decarboxylase activity",0.127912475710288,1,1,1,NA
"48","regulation of RNA metabolic process",0.127912475710288,1,1,1,NA
"49","ribonuclease inhibitor activity",0.127912475710288,1,1,1,NA
"50","polar tube",0.127912475710302,1,1,1,NA
"51","response to virus",0.127912475710356,1,1,1,NA
"52","choline biosynthetic process",0.127912475710403,1,1,1,NA
"53","phosphatidylcholine biosynthetic process",0.127912475710403,1,1,1,NA
"54","phosphoethanolamine N-methyltransferase activity",0.127912475710403,1,1,1,NA
"55","pollen development",0.127912475710403,1,1,1,NA
"56","pollen tube growth",0.127912475710403,1,1,1,NA
"57","pollen tube guidance",0.127912475710403,1,1,1,NA
"58","post-embryonic root development",0.127912475710403,1,1,1,NA
"59","unidimensional cell growth",0.127912475710403,1,1,1,NA
"60","box H/ACA snoRNA binding",0.127912475710403,1,1,1,NA
"61","box H/ACA snoRNP complex",0.127912475710403,1,1,1,NA
"62","pseudouridine synthesis",0.127912475710403,1,1,1,NA
"63","snoRNA guided rRNA pseudouridine synthesis",0.127912475710403,1,1,1,NA
"64","carbon monoxide binding",0.127912475710406,1,1,1,NA
"65","nitric oxide binding",0.127912475710406,1,1,1,NA
"66","oxygen sensor activity",0.127912475710406,1,1,1,NA
"67","cell wall",0.127912475710406,1,1,1,NA
"68","FAD transmembrane transporter activity",0.127913004598818,1,1,1,NA
"69","folic acid metabolic process",0.127913004598818,1,1,1,NA
"70","folic acid transport",0.127913004598818,1,1,1,NA
"71","folic acid transporter activity",0.127913004598818,1,1,1,NA
"72","glycine metabolic process",0.127913004598818,1,1,1,NA
"73","ferritin receptor activity",0.127914379872877,1,1,1,NA
"74","protein homotrimerization",0.127914379872877,1,1,1,NA
"75","transmembrane iron ion transport",0.127914379872877,1,1,1,NA
"76","creatine transport",0.127925842902749,1,1,1,NA
"77","creatine transporter activity",0.127925842902749,1,1,1,NA
"78","monocarboxylic acid transport",0.127925842902749,1,1,1,NA
