"","x"
"1","Mcavernosa06188"
"2","Mcavernosa06189"
"3","Mcavernosa06217"
"4","Mcavernosa06219"
"5","Mcavernosa06257"
"6","Mcavernosa06258"
"7","Mcavernosa06270"
"8","Mcavernosa06273"
"9","Mcavernosa06294"
"10","Mcavernosa06303"
"11","Mcavernosa06304"
"12","Mcavernosa06310"
"13","Mcavernosa06317"
"14","Mcavernosa06327"
"15","Mcavernosa06326"
"16","Mcavernosa06336"
"17","Mcavernosa06337"
"18","Mcavernosa06414"
"19","Mcavernosa06457"
"20","Mcavernosa06469"
"21","Mcavernosa06503"
"22","Mcavernosa06617"
"23","Mcavernosa06686"
"24","Mcavernosa06700"
"25","Mcavernosa06729"
"26","Mcavernosa06790"
"27","Mcavernosa06802"
"28","Mcavernosa06849"
"29","Mcavernosa06896"
"30","Mcavernosa06975"
"31","Mcavernosa06996"
"32","Mcavernosa07015"
"33","Mcavernosa07092"
"34","Mcavernosa07228"
"35","Mcavernosa00053"
"36","Mcavernosa00064"
"37","Mcavernosa00120"
"38","Mcavernosa00124"
"39","Mcavernosa00292"
"40","Mcavernosa00293"
"41","Mcavernosa00294"
"42","Mcavernosa00433"
"43","Mcavernosa00478"
"44","Mcavernosa00479"
"45","Mcavernosa00574"
"46","Mcavernosa00583"
"47","Mcavernosa00590"
"48","Mcavernosa00617"
"49","Mcavernosa00655"
"50","Mcavernosa00695"
"51","Mcavernosa00698"
"52","Mcavernosa00718"
"53","Mcavernosa00724"
"54","Mcavernosa00764"
"55","Mcavernosa00765"
"56","Mcavernosa00769"
"57","Mcavernosa00772"
"58","Mcavernosa00806"
"59","Mcavernosa00814"
"60","Mcavernosa00820"
"61","Mcavernosa00824"
"62","Mcavernosa00828"
"63","Mcavernosa00832"
"64","Mcavernosa00972"
"65","Mcavernosa00987"
"66","Mcavernosa01022"
"67","Mcavernosa01040"
"68","Mcavernosa01042"
"69","Mcavernosa01052"
"70","Mcavernosa01115"
"71","Mcavernosa01284"
"72","Mcavernosa01289"
"73","Mcavernosa01306"
"74","Mcavernosa01307"
"75","Mcavernosa01309"
"76","Mcavernosa01348"
"77","Mcavernosa01482"
"78","Mcavernosa01483"
"79","Mcavernosa01499"
"80","Mcavernosa01767"
"81","Mcavernosa01856"
"82","Mcavernosa01884"
"83","Mcavernosa01931"
"84","Mcavernosa01988"
"85","Mcavernosa02057"
"86","Mcavernosa02122"
"87","Mcavernosa02141"
"88","Mcavernosa02158"
"89","Mcavernosa03299"
"90","Mcavernosa03423"
"91","Mcavernosa03432"
"92","Mcavernosa03456"
"93","Mcavernosa03474"
"94","Mcavernosa03478"
"95","Mcavernosa03493"
"96","Mcavernosa03509"
"97","Mcavernosa03599"
"98","Mcavernosa03637"
"99","Mcavernosa03638"
"100","Mcavernosa03659"
"101","Mcavernosa03670"
"102","Mcavernosa03669"
"103","Mcavernosa03693"
"104","Mcavernosa03736"
"105","Mcavernosa03756"
"106","Mcavernosa03758"
"107","Mcavernosa03761"
"108","Mcavernosa03770"
"109","Mcavernosa03816"
"110","Mcavernosa03817"
"111","Mcavernosa03821"
