"gene"	"adj.pval.sym_trt2"	"transcript_id"	"sprot_Top_BLASTX_hit"	"RNAMMER"	"prot_id"	"prot_coords"	"sprot_Top_BLASTP_hit"	"Pfam"	"SignalP"	"TmHMM"	"eggnog"	"Kegg"	"gene_ontology_blast"	"gene_ontology_pfam"	"transcript"	"peptide"	"scaffold"	"start"	"stop"
"Mcavernosa16192"	9.55144077107668e-56	"Mcavernosa16192"	"POLR_DROME^POLR_DROME^Q:368-690,H:725-1046^30.82%ID^E:2e-39^RecName: Full=Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora`PO21_NASVI^PO21_NASVI^Q:368-650,H:698-972^33.45%ID^E:2e-37^RecName: Full=Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Terebrantes; Chalcidoidea; Pteromalidae; Pteromalinae; Nasonia`POLR_DROME^POLR_DROME^Q:63-366,H:277-594^29.19%ID^E:2e-29^RecName: Full=Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora`PO21_BRACO^PO21_BRACO^Q:54-367,H:80-409^27.49%ID^E:2e-29^RecName: Full=Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Nematocera; Sciaroidea; Sciaridae; Bradysia`PO21_NASVI^PO21_NASVI^Q:130-366,H:318-568^32.02%ID^E:8e-26^RecName: Full=Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Terebrantes; Chalcidoidea; Pteromalidae; Pteromalinae; Nasonia`PO21_BRACO^PO21_BRACO^Q:368-694,H:538-864^28.31%ID^E:4e-23^RecName: Full=Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Nematocera; Sciaroidea; Sciaridae; Bradysia"	"."	"Mcavernosa16192"	"1-2097[+]"	"POLR_DROME^POLR_DROME^Q:368-690,H:725-1046^30.82%ID^E:2e-39^RecName: Full=Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora`PO21_NASVI^PO21_NASVI^Q:368-650,H:698-972^33.45%ID^E:2e-37^RecName: Full=Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Terebrantes; Chalcidoidea; Pteromalidae; Pteromalinae; Nasonia`POLR_DROME^POLR_DROME^Q:63-366,H:277-594^29.19%ID^E:2e-29^RecName: Full=Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora`PO21_BRACO^PO21_BRACO^Q:54-367,H:80-409^27.49%ID^E:2e-29^RecName: Full=Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Nematocera; Sciaroidea; Sciaridae; Bradysia`PO21_NASVI^PO21_NASVI^Q:130-366,H:318-568^32.02%ID^E:8e-26^RecName: Full=Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Terebrantes; Chalcidoidea; Pteromalidae; Pteromalinae; Nasonia`PO21_BRACO^PO21_BRACO^Q:368-694,H:538-864^28.31%ID^E:4e-23^RecName: Full=Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Nematocera; Sciaroidea; Sciaridae; Bradysia"	"PF00078.26^RVT_1^Reverse transcriptase (RNA-dependent DNA polymerase)^193-318^E:1.5e-09"	"."	"."	"."	"."	"GO:0004190^molecular_function^aspartic-type endopeptidase activity`GO:0004519^molecular_function^endonuclease activity`GO:0046872^molecular_function^metal ion binding`GO:0003676^molecular_function^nucleic acid binding`GO:0003964^molecular_function^RNA-directed DNA polymerase activity"	"."	"."	"."	"Sc0000384"	15887	18022
"Mcavernosa04963"	1.7888881637757e-54	"Mcavernosa04963"	"."	"."	"Mcavernosa04963"	"1-1974[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000113"	50602	56796
"Mcavernosa31888"	9.22502456128438e-41	"Mcavernosa31888"	"."	"."	"Mcavernosa31888"	"1-1269[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000272"	522	16414
"Mcavernosa21537"	6.22112030437525e-32	"Mcavernosa21537"	"."	"."	"Mcavernosa21537"	"1-339[+]"	"."	"."	"."	"ExpAA=21.42^PredHel=1^Topology=o15-37i"	"."	"."	"."	"."	"."	"."	"Sc0000528"	18819	96401
"Mcavernosa31781"	2.4924934150979e-26	"Mcavernosa31781"	"."	"."	"Mcavernosa31781"	"1-1950[+]"	"."	"PF01436.20^NHL^NHL repeat^105-130^E:0.00026`PF02037.26^SAP^SAP domain^184-218^E:4.8e-08"	"."	"."	"."	"."	"."	"GO:0005515^molecular_function^protein binding"	"."	"."	"Sc0000268"	26893	30557
"Mcavernosa29916"	1.66092630869422e-24	"Mcavernosa29916"	"CAAP1_MOUSE^CAAP1_MOUSE^Q:63-137,H:110-184^41.33%ID^E:5e-12^RecName: Full=Caspase activity and apoptosis inhibitor 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`CAAP1_HUMAN^CAAP1_HUMAN^Q:65-139,H:132-206^41.33%ID^E:3e-11^RecName: Full=Caspase activity and apoptosis inhibitor 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`CAAP1_BOVIN^CAAP1_BOVIN^Q:65-250,H:133-355^26.03%ID^E:5e-11^RecName: Full=Caspase activity and apoptosis inhibitor 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos"	"."	"Mcavernosa29916"	"1-1235[+]"	"CAAP1_MOUSE^CAAP1_MOUSE^Q:63-137,H:110-184^41.33%ID^E:5e-12^RecName: Full=Caspase activity and apoptosis inhibitor 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`CAAP1_HUMAN^CAAP1_HUMAN^Q:65-139,H:132-206^41.33%ID^E:3e-11^RecName: Full=Caspase activity and apoptosis inhibitor 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`CAAP1_BOVIN^CAAP1_BOVIN^Q:65-250,H:133-355^26.03%ID^E:5e-11^RecName: Full=Caspase activity and apoptosis inhibitor 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos"	"PF15335.5^CAAP1^Caspase activity and apoptosis inhibitor 1^66-128^E:8.7e-19"	"."	"."	"ENOG4111MJZ^caspase activity and apoptosis inhibitor 1"	"KEGG:mmu:67770"	"GO:0006915^biological_process^apoptotic process`GO:0042981^biological_process^regulation of apoptotic process"	"GO:0042981^biological_process^regulation of apoptotic process"	"."	"."	"xfSc0000073"	22876	29220
"Mcavernosa07345"	3.44617056345263e-24	"Mcavernosa07345"	"."	"."	"Mcavernosa07345"	"1-2759[+]"	"."	"PF00096.25^zf-C2H2^Zinc finger, C2H2 type^185-207^E:0.0099"	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000036"	653863	660467
"Mcavernosa13145"	2.41055088811088e-19	"Mcavernosa13145"	"TRPA1_MOUSE^TRPA1_MOUSE^Q:136-1074,H:41-1068^25.46%ID^E:2e-86^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`TRPA1_RAT^TRPA1_RAT^Q:136-1074,H:41-1068^25.27%ID^E:1e-84^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus`TRPA1_HUMAN^TRPA1_HUMAN^Q:200-1074,H:109-1066^25.77%ID^E:1e-82^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`TRPA1_HUMAN^TRPA1_HUMAN^Q:318-617,H:49-381^23.12%ID^E:2e-13^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`TRPA1_HUMAN^TRPA1_HUMAN^Q:197-424,H:317-574^25.19%ID^E:1e-08^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"."	"Mcavernosa13145"	"1-4860[+]"	"TRPA1_MOUSE^TRPA1_MOUSE^Q:136-1074,H:41-1068^25.46%ID^E:2e-86^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`TRPA1_RAT^TRPA1_RAT^Q:136-1074,H:41-1068^25.27%ID^E:1e-84^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus`TRPA1_HUMAN^TRPA1_HUMAN^Q:200-1074,H:109-1066^25.77%ID^E:1e-82^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`TRPA1_HUMAN^TRPA1_HUMAN^Q:318-617,H:49-381^23.12%ID^E:2e-13^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`TRPA1_HUMAN^TRPA1_HUMAN^Q:197-424,H:317-574^25.19%ID^E:1e-08^RecName: Full=Transient receptor potential cation channel subfamily A member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"PF02816.17^Alpha_kinase^Alpha-kinase family^45-199^E:1.3e-22`PF12796.6^Ank_2^Ankyrin repeats (3 copies)^200-284^E:7.7e-19`PF13857.5^Ank_5^Ankyrin repeats (many copies)^208-259^E:3.9e-07`PF00023.29^Ank^Ankyrin repeat^222-253^E:4.1e-05`PF13606.5^Ank_3^Ankyrin repeat^222-251^E:7.9e-06`PF13637.5^Ank_4^Ankyrin repeats (many copies)^223-269^E:5.2e-10`PF13857.5^Ank_5^Ankyrin repeats (many copies)^248-292^E:3.4e-07`PF00023.29^Ank^Ankyrin repeat^256-286^E:2.9e-05`PF13606.5^Ank_3^Ankyrin repeat^256-283^E:0.00013`PF13637.5^Ank_4^Ankyrin repeats (many copies)^260-308^E:2e-08`PF12796.6^Ank_2^Ankyrin repeats (3 copies)^324-395^E:1.2e-11`PF13637.5^Ank_4^Ankyrin repeats (many copies)^333-385^E:4e-12`PF13606.5^Ank_3^Ankyrin repeat^333-359^E:0.0011`PF13857.5^Ank_5^Ankyrin repeats (many copies)^352-405^E:2e-09`PF00023.29^Ank^Ankyrin repeat^367-395^E:5.5e-05`PF13606.5^Ank_3^Ankyrin repeat^367-392^E:0.0018`PF13637.5^Ank_4^Ankyrin repeats (many copies)^401-451^E:4.9e-07`PF00023.29^Ank^Ankyrin repeat^401-428^E:0.011`PF13637.5^Ank_4^Ankyrin repeats (many copies)^432-484^E:2.6e-08`PF12796.6^Ank_2^Ankyrin repeats (3 copies)^469-555^E:3.1e-09`PF00023.29^Ank^Ankyrin repeat^534-576^E:0.017`PF13637.5^Ank_4^Ankyrin repeats (many copies)^556-598^E:7.2e-05`PF12796.6^Ank_2^Ankyrin repeats (3 copies)^560-619^E:1.5e-07`PF13857.5^Ank_5^Ankyrin repeats (many copies)^564-618^E:4.6e-08`PF00520.30^Ion_trans^Ion transport protein^776-984^E:2.8e-11"	"."	"ExpAA=123.70^PredHel=6^Topology=o724-743i787-809o824-841i854-876o896-918i962-984o"	"COG0666^Ankyrin Repeat"	"KEGG:mmu:277328`KO:K04984"	"GO:0016324^cellular_component^apical plasma membrane`GO:0030424^cellular_component^axon`GO:0016021^cellular_component^integral component of membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0032421^cellular_component^stereocilium bundle`GO:0005262^molecular_function^calcium channel activity`GO:0015278^molecular_function^calcium-release channel activity`GO:0015267^molecular_function^channel activity`GO:0042802^molecular_function^identical protein binding`GO:0005216^molecular_function^ion channel activity`GO:1990760^molecular_function^osmolarity-sensing cation channel activity`GO:0097604^molecular_function^temperature-gated cation channel activity`GO:0005245^molecular_function^voltage-gated calcium channel activity`GO:0097553^biological_process^calcium ion transmembrane import into cytosol`GO:0070588^biological_process^calcium ion transmembrane transport`GO:0006816^biological_process^calcium ion transport`GO:0007166^biological_process^cell surface receptor signaling pathway`GO:0071244^biological_process^cellular response to carbon dioxide`GO:0070417^biological_process^cellular response to cold`GO:0034605^biological_process^cellular response to heat`GO:0050968^biological_process^detection of chemical stimulus involved in sensory perception of pain`GO:0050966^biological_process^detection of mechanical stimulus involved in sensory perception of pain`GO:1903793^biological_process^positive regulation of anion transport`GO:0035774^biological_process^positive regulation of insulin secretion involved in cellular response to glucose stimulus`GO:1904058^biological_process^positive regulation of sensory perception of pain`GO:0051289^biological_process^protein homotetramerization`GO:1903522^biological_process^regulation of blood circulation`GO:0098908^biological_process^regulation of neuronal action potential`GO:0009409^biological_process^response to cold`GO:0042493^biological_process^response to drug`GO:0042542^biological_process^response to hydrogen peroxide`GO:0014070^biological_process^response to organic cyclic compound`GO:0010033^biological_process^response to organic substance`GO:0048265^biological_process^response to pain`GO:0019233^biological_process^sensory perception of pain`GO:0050955^biological_process^thermoception`GO:0014832^biological_process^urinary bladder smooth muscle contraction"	"GO:0004674^molecular_function^protein serine/threonine kinase activity`GO:0005524^molecular_function^ATP binding`GO:0006468^biological_process^protein phosphorylation`GO:0005515^molecular_function^protein binding`GO:0005216^molecular_function^ion channel activity`GO:0006811^biological_process^ion transport`GO:0055085^biological_process^transmembrane transport`GO:0016020^cellular_component^membrane"	"."	"."	"Sc0000152"	505038	525499
"Mcavernosa10513"	3.98526834775745e-18	"Mcavernosa10513"	"HOIL1_DICLA^HOIL1_DICLA^Q:27-318,H:374-661^51.19%ID^E:1e-105^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Moronidae; Dicentrarchus`HOIL1_DANRE^HOIL1_DANRE^Q:43-318,H:400-668^54.35%ID^E:7e-104^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`HOIL1_MOUSE^HOIL1_MOUSE^Q:42-318,H:193-462^52.35%ID^E:2e-97^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"."	"Mcavernosa10513"	"1-3442[+]"	"HOIL1_DICLA^HOIL1_DICLA^Q:27-318,H:374-661^51.19%ID^E:1e-105^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Moronidae; Dicentrarchus`HOIL1_DANRE^HOIL1_DANRE^Q:43-318,H:400-668^54.35%ID^E:7e-104^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`HOIL1_MOUSE^HOIL1_MOUSE^Q:42-318,H:193-462^52.35%ID^E:2e-97^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"PF00641.17^zf-RanBP^Zn-finger in Ran binding protein and others^43-68^E:4.8e-08`PF00097.24^zf-C3HC4^Zinc finger, C3HC4 type (RING finger)^136-178^E:1.3e-05`PF13445.5^zf-RING_UBOX^RING-type zinc-finger^136-178^E:5.6e-05"	"."	"."	"."	"."	"GO:0071797^cellular_component^LUBAC complex`GO:0046872^molecular_function^metal ion binding`GO:0016740^molecular_function^transferase activity`GO:0043130^molecular_function^ubiquitin binding`GO:0043123^biological_process^positive regulation of I-kappaB kinase/NF-kappaB signaling`GO:0097039^biological_process^protein linear polyubiquitination"	"GO:0046872^molecular_function^metal ion binding"	"."	"."	"Sc0000426"	230598	250225
"Mcavernosa27992"	8.53799879543494e-15	"Mcavernosa27992"	"PCID2_HUMAN^PCID2_HUMAN^Q:10-303,H:1-328^49.85%ID^E:1e-102^RecName: Full=PCI domain-containing protein 2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`PCID2_XENLA^PCID2_XENLA^Q:10-303,H:1-328^46.94%ID^E:2e-98^RecName: Full=PCI domain-containing protein 2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`PCID2_DANRE^PCID2_DANRE^Q:10-303,H:1-328^49.85%ID^E:1e-96^RecName: Full=PCI domain-containing protein 2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio"	"."	"Mcavernosa27992"	"1-915[+]"	"PCID2_HUMAN^PCID2_HUMAN^Q:10-303,H:1-328^49.85%ID^E:1e-102^RecName: Full=PCI domain-containing protein 2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`PCID2_XENLA^PCID2_XENLA^Q:10-303,H:1-328^46.94%ID^E:2e-98^RecName: Full=PCI domain-containing protein 2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`PCID2_DANRE^PCID2_DANRE^Q:10-303,H:1-328^49.85%ID^E:1e-96^RecName: Full=PCI domain-containing protein 2;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio"	"."	"."	"."	"COG5600^PCI domain containing 2"	"KEGG:hsa:55795"	"GO:0070390^cellular_component^transcription export complex 2`GO:0003690^molecular_function^double-stranded DNA binding`GO:0003723^molecular_function^RNA binding`GO:0043066^biological_process^negative regulation of apoptotic process`GO:2000117^biological_process^negative regulation of cysteine-type endopeptidase activity`GO:0071033^biological_process^nuclear retention of pre-mRNA at the site of transcription`GO:0016973^biological_process^poly(A)+ mRNA export from nucleus`GO:0045579^biological_process^positive regulation of B cell differentiation`GO:0090267^biological_process^positive regulation of mitotic cell cycle spindle assembly checkpoint`GO:0045893^biological_process^positive regulation of transcription, DNA-templated`GO:0000973^biological_process^posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery`GO:0043488^biological_process^regulation of mRNA stability`GO:0048536^biological_process^spleen development`GO:0006368^biological_process^transcription elongation from RNA polymerase II promoter"	"."	"."	"."	"Sc0000178"	412414	423924
