"gene"	"adj.pval.trt2"	"transcript_id"	"sprot_Top_BLASTX_hit"	"RNAMMER"	"prot_id"	"prot_coords"	"sprot_Top_BLASTP_hit"	"Pfam"	"SignalP"	"TmHMM"	"eggnog"	"Kegg"	"gene_ontology_blast"	"gene_ontology_pfam"	"transcript"	"peptide"	"scaffold"	"start"	"stop"
"Mcavernosa04963"	1.18921867845322e-192	"Mcavernosa04963"	"."	"."	"Mcavernosa04963"	"1-1974[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000113"	50602	56796
"Mcavernosa31888"	1.25109013899777e-136	"Mcavernosa31888"	"."	"."	"Mcavernosa31888"	"1-1269[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000272"	522	16414
"Mcavernosa02180"	4.69984703742248e-52	"Mcavernosa02180"	"UCHL3_PIG^UCHL3_PIG^Q:82-295,H:19-229^45.02%ID^E:4e-60^RecName: Full=Ubiquitin carboxyl-terminal hydrolase isozyme L3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Suina; Suidae; Sus`UCHL3_HUMAN^UCHL3_HUMAN^Q:82-295,H:19-229^45.02%ID^E:2e-59^RecName: Full=Ubiquitin carboxyl-terminal hydrolase isozyme L3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`UCHL3_BOVIN^UCHL3_BOVIN^Q:82-295,H:19-229^44.59%ID^E:3e-59^RecName: Full=Ubiquitin carboxyl-terminal hydrolase isozyme L3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos"	"."	"Mcavernosa02180"	"1-894[+]"	"UCHL3_PIG^UCHL3_PIG^Q:82-295,H:19-229^45.02%ID^E:4e-60^RecName: Full=Ubiquitin carboxyl-terminal hydrolase isozyme L3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Suina; Suidae; Sus`UCHL3_HUMAN^UCHL3_HUMAN^Q:82-295,H:19-229^45.02%ID^E:2e-59^RecName: Full=Ubiquitin carboxyl-terminal hydrolase isozyme L3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`UCHL3_BOVIN^UCHL3_BOVIN^Q:82-295,H:19-229^44.59%ID^E:3e-59^RecName: Full=Ubiquitin carboxyl-terminal hydrolase isozyme L3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos"	"PF01088.20^Peptidase_C12^Ubiquitin carboxyl-terminal hydrolase, family 1^79-279^E:3.7e-41"	"."	"ExpAA=21.18^PredHel=1^Topology=i21-40o"	"ENOG4111HNA^ubiquitin carboxyl-terminal"	"KEGG:ssc:768115`KO:K05609"	"GO:0005737^cellular_component^cytoplasm`GO:0004843^molecular_function^thiol-dependent ubiquitin-specific protease activity`GO:0016579^biological_process^protein deubiquitination`GO:0006511^biological_process^ubiquitin-dependent protein catabolic process"	"GO:0004843^molecular_function^thiol-dependent ubiquitin-specific protease activity`GO:0006511^biological_process^ubiquitin-dependent protein catabolic process`GO:0005622^cellular_component^intracellular"	"."	"."	"Sc0000072"	127846	144299
"Mcavernosa11154"	2.17716988524728e-38	"Mcavernosa11154"	"."	"."	"Mcavernosa11154"	"1-735[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000453"	225222	226016
"Mcavernosa16192"	1.1526756066349e-37	"Mcavernosa16192"	"POLR_DROME^POLR_DROME^Q:368-690,H:725-1046^30.82%ID^E:2e-39^RecName: Full=Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora`PO21_NASVI^PO21_NASVI^Q:368-650,H:698-972^33.45%ID^E:2e-37^RecName: Full=Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Terebrantes; Chalcidoidea; Pteromalidae; Pteromalinae; Nasonia`POLR_DROME^POLR_DROME^Q:63-366,H:277-594^29.19%ID^E:2e-29^RecName: Full=Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora`PO21_BRACO^PO21_BRACO^Q:54-367,H:80-409^27.49%ID^E:2e-29^RecName: Full=Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Nematocera; Sciaroidea; Sciaridae; Bradysia`PO21_NASVI^PO21_NASVI^Q:130-366,H:318-568^32.02%ID^E:8e-26^RecName: Full=Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Terebrantes; Chalcidoidea; Pteromalidae; Pteromalinae; Nasonia`PO21_BRACO^PO21_BRACO^Q:368-694,H:538-864^28.31%ID^E:4e-23^RecName: Full=Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Nematocera; Sciaroidea; Sciaridae; Bradysia"	"."	"Mcavernosa16192"	"1-2097[+]"	"POLR_DROME^POLR_DROME^Q:368-690,H:725-1046^30.82%ID^E:2e-39^RecName: Full=Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora`PO21_NASVI^PO21_NASVI^Q:368-650,H:698-972^33.45%ID^E:2e-37^RecName: Full=Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Terebrantes; Chalcidoidea; Pteromalidae; Pteromalinae; Nasonia`POLR_DROME^POLR_DROME^Q:63-366,H:277-594^29.19%ID^E:2e-29^RecName: Full=Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora`PO21_BRACO^PO21_BRACO^Q:54-367,H:80-409^27.49%ID^E:2e-29^RecName: Full=Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Nematocera; Sciaroidea; Sciaridae; Bradysia`PO21_NASVI^PO21_NASVI^Q:130-366,H:318-568^32.02%ID^E:8e-26^RecName: Full=Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Terebrantes; Chalcidoidea; Pteromalidae; Pteromalinae; Nasonia`PO21_BRACO^PO21_BRACO^Q:368-694,H:538-864^28.31%ID^E:4e-23^RecName: Full=Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Nematocera; Sciaroidea; Sciaridae; Bradysia"	"PF00078.26^RVT_1^Reverse transcriptase (RNA-dependent DNA polymerase)^193-318^E:1.5e-09"	"."	"."	"."	"."	"GO:0004190^molecular_function^aspartic-type endopeptidase activity`GO:0004519^molecular_function^endonuclease activity`GO:0046872^molecular_function^metal ion binding`GO:0003676^molecular_function^nucleic acid binding`GO:0003964^molecular_function^RNA-directed DNA polymerase activity"	"."	"."	"."	"Sc0000384"	15887	18022
"Mcavernosa32260"	3.79815454153695e-36	"Mcavernosa32260"	"."	"."	"Mcavernosa32260"	"1-1587[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000285"	307386	363470
"Mcavernosa17728"	2.48848240054393e-34	"Mcavernosa17728"	"SHKD_DICDI^SHKD_DICDI^Q:320-557,H:283-522^31.1%ID^E:3e-17^RecName: Full=Dual specificity protein kinase shkD;^Eukaryota; Amoebozoa; Mycetozoa; Dictyostelids; Dictyosteliales; Dictyosteliaceae; Dictyostelium`SHKA_DICDI^SHKA_DICDI^Q:317-557,H:48-292^29.66%ID^E:7e-17^RecName: Full=Dual specificity protein kinase shkA;^Eukaryota; Amoebozoa; Mycetozoa; Dictyostelids; Dictyosteliales; Dictyosteliaceae; Dictyostelium`FPS_FUJSV^FPS_FUJSV^Q:320-557,H:618-857^28.19%ID^E:2e-15^RecName: Full=Tyrosine-protein kinase transforming protein Fps;^Viruses; Ortervirales; Retroviridae; Orthoretrovirinae; Alpharetrovirus"	"."	"Mcavernosa17728"	"1-2029[+]"	"SHKD_DICDI^SHKD_DICDI^Q:320-557,H:283-522^31.1%ID^E:3e-17^RecName: Full=Dual specificity protein kinase shkD;^Eukaryota; Amoebozoa; Mycetozoa; Dictyostelids; Dictyosteliales; Dictyosteliaceae; Dictyostelium`SHKA_DICDI^SHKA_DICDI^Q:317-557,H:48-292^29.66%ID^E:7e-17^RecName: Full=Dual specificity protein kinase shkA;^Eukaryota; Amoebozoa; Mycetozoa; Dictyostelids; Dictyosteliales; Dictyosteliaceae; Dictyostelium`FPS_FUJSV^FPS_FUJSV^Q:320-557,H:618-857^28.19%ID^E:2e-15^RecName: Full=Tyrosine-protein kinase transforming protein Fps;^Viruses; Ortervirales; Retroviridae; Orthoretrovirinae; Alpharetrovirus"	"PF00069.24^Pkinase^Protein kinase domain^316-560^E:8.1e-25`PF07714.16^Pkinase_Tyr^Protein tyrosine kinase^317-560^E:8.3e-28"	"."	"."	"COG0515^Serine Threonine protein kinase"	"KEGG:ddi:DDB_G0281343"	"GO:0005622^cellular_component^intracellular`GO:0016020^cellular_component^membrane`GO:0005524^molecular_function^ATP binding`GO:0004674^molecular_function^protein serine/threonine kinase activity`GO:0004713^molecular_function^protein tyrosine kinase activity`GO:0035556^biological_process^intracellular signal transduction"	"GO:0004672^molecular_function^protein kinase activity`GO:0005524^molecular_function^ATP binding`GO:0006468^biological_process^protein phosphorylation"	"."	"."	"xfSc0000048"	152977	156685
"Mcavernosa29152"	8.3163672287174e-29	"Mcavernosa29152"	"SPON1_CHICK^SPON1_CHICK^Q:35-134,H:610-712^39.42%ID^E:3e-12^RecName: Full=Spondin-1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Gallus`SSPO_BOVIN^SSPO_BOVIN^Q:34-131,H:2479-2579^39.6%ID^E:2e-11^RecName: Full=SCO-spondin;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`SSPO_HUMAN^SSPO_HUMAN^Q:34-131,H:2501-2601^38.61%ID^E:2e-11^RecName: Full=SCO-spondin {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`SPON1_CHICK^SPON1_CHICK^Q:35-131,H:497-596^33.66%ID^E:2e-07^RecName: Full=Spondin-1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Gallus"	"."	"Mcavernosa29152"	"1-483[+]"	"SPON1_CHICK^SPON1_CHICK^Q:35-134,H:610-712^39.42%ID^E:3e-12^RecName: Full=Spondin-1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Gallus`SSPO_BOVIN^SSPO_BOVIN^Q:34-131,H:2479-2579^39.6%ID^E:2e-11^RecName: Full=SCO-spondin;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`SSPO_HUMAN^SSPO_HUMAN^Q:34-131,H:2501-2601^38.61%ID^E:2e-11^RecName: Full=SCO-spondin {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`SPON1_CHICK^SPON1_CHICK^Q:35-131,H:497-596^33.66%ID^E:2e-07^RecName: Full=Spondin-1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Gallus"	"PF00090.18^TSP_1^Thrombospondin type 1 domain^39-86^E:3.2e-09`PF00090.18^TSP_1^Thrombospondin type 1 domain^94-130^E:0.013"	"sigP:1^22^0.807^YES"	"ExpAA=19.40^PredHel=1^Topology=o4-23i"	"ENOG410XQHP^Extracellular matrix protein"	"KEGG:gga:395657"	"GO:0005576^cellular_component^extracellular region`GO:0046872^molecular_function^metal ion binding`GO:0007155^biological_process^cell adhesion"	"."	"."	"."	"Sc0001437"	12000	21288
"Mcavernosa21537"	1.89984588063695e-23	"Mcavernosa21537"	"."	"."	"Mcavernosa21537"	"1-339[+]"	"."	"."	"."	"ExpAA=21.42^PredHel=1^Topology=o15-37i"	"."	"."	"."	"."	"."	"."	"Sc0000528"	18819	96401
"Mcavernosa27150"	8.69584403416027e-23	"Mcavernosa27150"	"ADA29_HUMAN^ADA29_HUMAN^Q:116-215,H:723-820^29.7%ID^E:9e-06^RecName: Full=Disintegrin and metalloproteinase domain-containing protein 29;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"."	"Mcavernosa27150"	"1-801[+]"	"ADA29_HUMAN^ADA29_HUMAN^Q:116-215,H:723-820^29.7%ID^E:9e-06^RecName: Full=Disintegrin and metalloproteinase domain-containing protein 29;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"."	"sigP:1^16^0.657^YES"	"ExpAA=17.87^PredHel=1^Topology=i2-21o"	"ENOG410XX2M^ADAM metallopeptidase domain"	"KEGG:hsa:11086`KO:K16069"	"GO:0005887^cellular_component^integral component of plasma membrane`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008237^molecular_function^metallopeptidase activity`GO:0007283^biological_process^spermatogenesis"	"."	"."	"."	"Sc0000984"	7729	37223
