"gene"	"adj.pval.sym"	"transcript_id"	"sprot_Top_BLASTX_hit"	"RNAMMER"	"prot_id"	"prot_coords"	"sprot_Top_BLASTP_hit"	"Pfam"	"SignalP"	"TmHMM"	"eggnog"	"Kegg"	"gene_ontology_blast"	"gene_ontology_pfam"	"transcript"	"peptide"	"scaffold"	"start"	"stop"
"Mcavernosa04963"	2.48910871258952e-267	"Mcavernosa04963"	"."	"."	"Mcavernosa04963"	"1-1974[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000113"	50602	56796
"Mcavernosa07345"	8.5107744225022e-104	"Mcavernosa07345"	"."	"."	"Mcavernosa07345"	"1-2759[+]"	"."	"PF00096.25^zf-C2H2^Zinc finger, C2H2 type^185-207^E:0.0099"	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000036"	653863	660467
"Mcavernosa32260"	1.25794935521972e-76	"Mcavernosa32260"	"."	"."	"Mcavernosa32260"	"1-1587[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000285"	307386	363470
"Mcavernosa15874"	7.68431811482693e-76	"Mcavernosa15874"	"."	"."	"Mcavernosa15874"	"1-1716[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000400"	190411	192126
"Mcavernosa17749"	2.99484705097125e-67	"Mcavernosa17749"	"."	"."	"Mcavernosa17749"	"1-1365[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000657"	7965	86090
"Mcavernosa05323"	1.8247616460948e-56	"Mcavernosa05323"	"."	"."	"Mcavernosa05323"	"1-681[+]"	"."	"."	"."	"ExpAA=20.10^PredHel=1^Topology=i25-47o"	"."	"."	"."	"."	"."	"."	"Sc0000119"	475285	522091
"Mcavernosa03191"	7.2075962883783e-55	"Mcavernosa03191"	"R1AB_CVHN1^R1AB_CVHN1^Q:4-185,H:946-1112^35.16%ID^E:3e-06^RecName: Full=Replicase polyprotein 1ab;^Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Nidovirales; Coronaviridae; Coronavirinae; Betacoronavirus`R1AB_CVHN1^R1AB_CVHN1^Q:4-195,H:922-1111^32.84%ID^E:4e-06^RecName: Full=Replicase polyprotein 1ab;^Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Nidovirales; Coronaviridae; Coronavirinae; Betacoronavirus`EIF3A_XENLA^EIF3A_XENLA^Q:2-215,H:1002-1225^29.82%ID^E:1e-05^RecName: Full=Eukaryotic translation initiation factor 3 subunit A {ECO:0000255|HAMAP-Rule:MF_03000};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus"	"."	"Mcavernosa03191"	"1-1341[+]"	"R1AB_CVHN1^R1AB_CVHN1^Q:4-185,H:946-1112^35.16%ID^E:3e-06^RecName: Full=Replicase polyprotein 1ab;^Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Nidovirales; Coronaviridae; Coronavirinae; Betacoronavirus`R1AB_CVHN1^R1AB_CVHN1^Q:4-195,H:922-1111^32.84%ID^E:4e-06^RecName: Full=Replicase polyprotein 1ab;^Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Nidovirales; Coronaviridae; Coronavirinae; Betacoronavirus`EIF3A_XENLA^EIF3A_XENLA^Q:2-215,H:1002-1225^29.82%ID^E:1e-05^RecName: Full=Eukaryotic translation initiation factor 3 subunit A {ECO:0000255|HAMAP-Rule:MF_03000};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus"	"."	"."	"."	"."	"KEGG:vg:3200429"	"GO:0044172^cellular_component^host cell endoplasmic reticulum-Golgi intermediate compartment`GO:0033644^cellular_component^host cell membrane`GO:0044220^cellular_component^host cell perinuclear region of cytoplasm`GO:0016021^cellular_component^integral component of membrane`GO:0005524^molecular_function^ATP binding`GO:0004197^molecular_function^cysteine-type endopeptidase activity`GO:0004519^molecular_function^endonuclease activity`GO:0016896^molecular_function^exoribonuclease activity, producing 5'-phosphomonoesters`GO:0004386^molecular_function^helicase activity`GO:0008168^molecular_function^methyltransferase activity`GO:0008242^molecular_function^omega peptidase activity`GO:0003723^molecular_function^RNA binding`GO:0003968^molecular_function^RNA-directed 5'-3' RNA polymerase activity`GO:0036459^molecular_function^thiol-dependent ubiquitinyl hydrolase activity`GO:0008270^molecular_function^zinc ion binding`GO:0039595^biological_process^induction by virus of catabolism of host mRNA`GO:0039520^biological_process^induction by virus of host autophagy`GO:0039648^biological_process^modulation by virus of host protein ubiquitination`GO:0039579^biological_process^suppression by virus of host ISG15 activity`GO:0039644^biological_process^suppression by virus of host NF-kappaB transcription factor activity`GO:0039502^biological_process^suppression by virus of host type I interferon-mediated signaling pathway`GO:0006351^biological_process^transcription, DNA-templated`GO:0019079^biological_process^viral genome replication`GO:0019082^biological_process^viral protein processing"	"."	"."	"."	"xpSc0004672"	369566	383547
"Mcavernosa17728"	8.65799848680181e-46	"Mcavernosa17728"	"SHKD_DICDI^SHKD_DICDI^Q:320-557,H:283-522^31.1%ID^E:3e-17^RecName: Full=Dual specificity protein kinase shkD;^Eukaryota; Amoebozoa; Mycetozoa; Dictyostelids; Dictyosteliales; Dictyosteliaceae; Dictyostelium`SHKA_DICDI^SHKA_DICDI^Q:317-557,H:48-292^29.66%ID^E:7e-17^RecName: Full=Dual specificity protein kinase shkA;^Eukaryota; Amoebozoa; Mycetozoa; Dictyostelids; Dictyosteliales; Dictyosteliaceae; Dictyostelium`FPS_FUJSV^FPS_FUJSV^Q:320-557,H:618-857^28.19%ID^E:2e-15^RecName: Full=Tyrosine-protein kinase transforming protein Fps;^Viruses; Ortervirales; Retroviridae; Orthoretrovirinae; Alpharetrovirus"	"."	"Mcavernosa17728"	"1-2029[+]"	"SHKD_DICDI^SHKD_DICDI^Q:320-557,H:283-522^31.1%ID^E:3e-17^RecName: Full=Dual specificity protein kinase shkD;^Eukaryota; Amoebozoa; Mycetozoa; Dictyostelids; Dictyosteliales; Dictyosteliaceae; Dictyostelium`SHKA_DICDI^SHKA_DICDI^Q:317-557,H:48-292^29.66%ID^E:7e-17^RecName: Full=Dual specificity protein kinase shkA;^Eukaryota; Amoebozoa; Mycetozoa; Dictyostelids; Dictyosteliales; Dictyosteliaceae; Dictyostelium`FPS_FUJSV^FPS_FUJSV^Q:320-557,H:618-857^28.19%ID^E:2e-15^RecName: Full=Tyrosine-protein kinase transforming protein Fps;^Viruses; Ortervirales; Retroviridae; Orthoretrovirinae; Alpharetrovirus"	"PF00069.24^Pkinase^Protein kinase domain^316-560^E:8.1e-25`PF07714.16^Pkinase_Tyr^Protein tyrosine kinase^317-560^E:8.3e-28"	"."	"."	"COG0515^Serine Threonine protein kinase"	"KEGG:ddi:DDB_G0281343"	"GO:0005622^cellular_component^intracellular`GO:0016020^cellular_component^membrane`GO:0005524^molecular_function^ATP binding`GO:0004674^molecular_function^protein serine/threonine kinase activity`GO:0004713^molecular_function^protein tyrosine kinase activity`GO:0035556^biological_process^intracellular signal transduction"	"GO:0004672^molecular_function^protein kinase activity`GO:0005524^molecular_function^ATP binding`GO:0006468^biological_process^protein phosphorylation"	"."	"."	"xfSc0000048"	152977	156685
"Mcavernosa10513"	5.5935325771977e-41	"Mcavernosa10513"	"HOIL1_DICLA^HOIL1_DICLA^Q:27-318,H:374-661^51.19%ID^E:1e-105^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Moronidae; Dicentrarchus`HOIL1_DANRE^HOIL1_DANRE^Q:43-318,H:400-668^54.35%ID^E:7e-104^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`HOIL1_MOUSE^HOIL1_MOUSE^Q:42-318,H:193-462^52.35%ID^E:2e-97^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"."	"Mcavernosa10513"	"1-3442[+]"	"HOIL1_DICLA^HOIL1_DICLA^Q:27-318,H:374-661^51.19%ID^E:1e-105^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Moronidae; Dicentrarchus`HOIL1_DANRE^HOIL1_DANRE^Q:43-318,H:400-668^54.35%ID^E:7e-104^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`HOIL1_MOUSE^HOIL1_MOUSE^Q:42-318,H:193-462^52.35%ID^E:2e-97^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"PF00641.17^zf-RanBP^Zn-finger in Ran binding protein and others^43-68^E:4.8e-08`PF00097.24^zf-C3HC4^Zinc finger, C3HC4 type (RING finger)^136-178^E:1.3e-05`PF13445.5^zf-RING_UBOX^RING-type zinc-finger^136-178^E:5.6e-05"	"."	"."	"."	"."	"GO:0071797^cellular_component^LUBAC complex`GO:0046872^molecular_function^metal ion binding`GO:0016740^molecular_function^transferase activity`GO:0043130^molecular_function^ubiquitin binding`GO:0043123^biological_process^positive regulation of I-kappaB kinase/NF-kappaB signaling`GO:0097039^biological_process^protein linear polyubiquitination"	"GO:0046872^molecular_function^metal ion binding"	"."	"."	"Sc0000426"	230598	250225
"Mcavernosa27150"	2.08115781971185e-39	"Mcavernosa27150"	"ADA29_HUMAN^ADA29_HUMAN^Q:116-215,H:723-820^29.7%ID^E:9e-06^RecName: Full=Disintegrin and metalloproteinase domain-containing protein 29;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"."	"Mcavernosa27150"	"1-801[+]"	"ADA29_HUMAN^ADA29_HUMAN^Q:116-215,H:723-820^29.7%ID^E:9e-06^RecName: Full=Disintegrin and metalloproteinase domain-containing protein 29;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"."	"sigP:1^16^0.657^YES"	"ExpAA=17.87^PredHel=1^Topology=i2-21o"	"ENOG410XX2M^ADAM metallopeptidase domain"	"KEGG:hsa:11086`KO:K16069"	"GO:0005887^cellular_component^integral component of plasma membrane`GO:0004222^molecular_function^metalloendopeptidase activity`GO:0008237^molecular_function^metallopeptidase activity`GO:0007283^biological_process^spermatogenesis"	"."	"."	"."	"Sc0000984"	7729	37223
